,Unnamed: 0,Agency,Organization,Account Type,Character Code,Object,2015,2016 adjusted,2017 adjusted,2018 adjusted
0,0,50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES,-11355535.0,-11826024.688007316,-12222002.878005112,-12368868.460831504
1,1,50 -  LIBRARY,50300 - LIB COL RES & ACCESS,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES,-2056164.0,-2201109.609955741,-2132737.140484667,-2145536.3357905084
2,2,50 -  LIBRARY,50400 - LIB FACILITIES,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES,-1766869.0,-1751861.12484834,-1903931.3001828063,-1869203.1585495991
3,3,51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Revenue,49 - TRANSFER IN,49124 - TRANSFER IN FROM OTHER RESTRIC,-1000000.0,-2475798.458620277,-3006430.999964443,0.0
4,4,44 -  STREETS,44220 - ST RECYCLING COLLECTION,Revenue,43 - CHARGES FOR SERVICES,43445 - SALE OF RECYCLABLES,-841012.69,-858369.9913434099,-1181696.0210252206,-844234.5434251425
5,5,65 -  PLANNING,65300 - PL METROPOLITAN PLANNING ORG,Revenue,49 - TRANSFER IN,49123 - TRANSFER IN FROM GRANTS,-683795.41,-802011.0934888669,0.0,0.0
6,6,20 -  MUNICIPAL COURT,20100 - MUNICIPAL COURT,Revenue,43 - CHARGES FOR SERVICES,43120 - COURT FEES,-640286.53,-618296.578247236,-499424.9386938353,-398948.5030455321
7,7,30 -  FIRE,30252 - FIRE INSPECTION ELEVATOR,Revenue,44 - LICENSES AND PERMITS,44230 - ELEVATOR PERMITS AND INSPECTS,-617670.0,-600575.7239742648,-518576.3404043489,-525693.4237760354
8,8,40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58131 - ID BILLING TO POLICE,-531289.0,-528534.4452656403,-520058.0563561751,-578047.9731670107
9,9,50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43568 - CATALOGING SERVICES,-455858.0,-449857.53152822156,-440495.3401157076,-429576.5172591027
10,10,30 -  FIRE,30240 - FIRE GENERAL PREVENTION,Revenue,44 - LICENSES AND PERMITS,44245 - FIRE PERMITS,-396640.0,-412365.0894094226,-389585.59700649657,-523370.5579532197
11,11,00 -  UNDEFINED,110020 - GENERAL FUND EXPENSE,Expense,56 - DEBT OTHR FINANCING,56210 - INTEREST,-373356.21,9625.90440711564,0.0,0.0
12,12,31 -  POLICE,31100 - POLICE FIELD,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING,-322131.73,-391332.3001191921,-343081.6994310837,-288830.77218351513
13,13,51 -  PARKS,51244 - PARK MTC MALL CONCOURSE,Revenue,45 - FINE FORFEITURE ASMT,45310 - SPEC ASSESSMENTS SERVICE,-319297.72,-435929.06572138966,-432664.51979577594,0.0
14,14,50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,45 - FINE FORFEITURE ASMT,45210 - LIBRARY FINES,-298453.79,-285702.2994629949,-275636.7917641005,-244595.03835918193
15,15,40 -  ENGINEERING,40471 - ENG FAC MAINT BUILDING MAINT,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE,-283244.78,-185862.07234060735,-284357.97015699587,-150665.7674426668
